tiempo radio velocidad aceleracion temperatura pg nH2 nH nO nO2 nOH nH2O nN nNH nNH2 nNH3 nN2H nNO nNO2 nN2O nHNO nN2 nArnH2O2 nHO2 
0 0.000425 0 0 308.15 4966.57443227 975887727831 0 0 487943863915 0 3.74045608109e+014 0 0 0 0 0 0 0 0 0 0 0 0 0 
2.76750940393e-006 0.000424280870482 -0.520177793026 -188537.686522 308.664969584 4998.04754253 975887726870 2.56323111749e-057 4.53223853201e-068 487943863582 2.54527578138e-063 3.73883306314e+014 0 0 0 0 0 0 0 0 0 0 0 3.07905964239e-116 1.19532832471e-144 
7.14198859999e-006 0.000420183410429 -1.35816913332 -195074.627388 311.569281985 5151.94576766 975887701122 1.33040065362e-056 2.85569199435e-067 487943854644 1.49346522461e-062 3.70837552343e+014 0 0 0 0 0 0 0 0 0 0 0 6.72061715117e-115 6.65826892162e-143 
1.05622626555e-005 0.000414376108866 -2.04364580504 -205575.549185 315.733603373 5344.94609911 975887621600 7.79812294297e-056 2.17496565135e-066 487943827039 1.14269996534e-061 3.64105034819e+014 0 0 0 0 0 0 0 0 0 0 0 1.69094770979e-113 2.61651283607e-141 
1.30000498445e-005 0.000408771602013 -2.55883872872 -216539.803602 319.871175931 5519.10819093 975887505536 4.9441593421e-055 1.83925131631e-065 487943786749 9.6747201026e-061 3.56219825253e+014 0 0 0 0 0 0 0 0 0 0 0 5.20194592557e-112 1.33399889527e-139 
1.49550348513e-005 0.000403347387566 -2.9939833908 -227913.04928 324.020201336 5682.04036932 975887360561 3.28460334739e-054 1.639739864e-064 487943736422 8.50145095436e-060 3.47783639845e+014 0 0 0 0 0 0 0 0 0 0 0 1.77940997173e-110 8.36984176493e-138 
1.66212670766e-005 0.000398036261146 -3.38434459215 -239826.801962 328.243082961 5838.87244314 975887189878 2.24600076438e-053 1.50674451543e-063 487943677168 7.6344711653e-059 3.38994871762e+014 0 0 0 0 0 0 0 0 0 0 0 6.443139458e-109 5.84653164157e-136 
1.80852764538e-005 0.000392819588646 -3.74526932292 -252334.431577 332.563705925 5991.89060385 975886996157 1.56441714133e-052 1.4111647126e-062 487943609914 6.95587300117e-058 3.29996155927e+014 0 0 0 0 0 0 0 0 0 0 0 2.41643453214e-107 4.34534370626e-134 
1.93952099933e-005 0.000387692869523 -4.08505203014 -265464.05129 336.993090002 6142.35021705 975886781770 1.1034813578e-051 1.33894692826e-061 487943535484 6.40222381443e-057 3.20894588277e+014 0 0 0 0 0 0 0 0 0 0 0 9.28180485011e-106 3.36399071347e-132 
2.05819196992e-005 0.000382654573866 -4.40887945179 -279239.07072 341.538373263 6291.07862673 975886548781 7.85469152524e-051 1.28241858706e-060 487943454593 5.93621912944e-056 3.11769128199e+014 0 0 0 0 0 0 0 0 0 0 0 3.62739901391e-104 2.68098621746e-130 
2.16669224709e-005 0.000377703400522 -4.72030136629 -293683.782938 346.205450117 6438.68280146 975886298980 5.62942540997e-050 1.23696274794e-059 487943367862 5.53439117219e-055 3.02677804043e+014 0 0 0 0 0 0 0 0 0 0 0 1.43616228555e-102 2.18360673798e-128 
2.26660793983e-005 0.000372837668954 -5.02189950031 -308824.930899 350.999848506 6585.63773629 975886033913 4.05594986996e-049 1.19959523094e-058 487943275827 5.1811616934e-054 2.93663278169e+014 0 0 0 0 0 0 0 0 0 0 0 5.74343919212e-101 1.80867651681e-126 
2.35915516963e-005 0.000368055251624 -5.31563770024 -324692.216288 355.927077282 6732.33173077 975885754916 2.93442701164e-048 1.16828117468e-057 487943178953 4.86573872257e-053 2.84756852818e+014 0 0 0 0 0 0 0 0 0 0 0 2.31509752827e-099 1.51822568877e-124 
2.44529437316e-005 0.000363353640576 -5.60306368537 -341318.529025 360.992788715 6879.09273318 975885463148 2.13003143843e-047 1.14157370677e-056 487943077639 4.58038662163e-052 2.75981338235e+014 0 0 0 0 0 0 0 0 0 0 0 9.39061124955e-098 1.28817714839e-122 
2.52580179766e-005 0.000358730036859 -5.88543358748 -358740.120522 366.202867432 7026.2050489 975885159608 1.55021926848e-046 1.11840837974e-055 487942972233 4.31940593132e-051 2.67353130982e+014 0 0 0 0 0 0 0 0 0 0 0 3.82825593107e-096 1.10259722519e-120 
2.6013165975e-005 0.000354181431562 -6.16379300981 -376996.791724 371.563487362 7173.92061772 975884845155 1.13061753898e-045 1.09797949936e-054 487942863034 4.07850289549e-050 2.58883742539e+014 0 0 0 0 0 0 0 0 0 0 0 1.56695443946e-094 9.50566268651e-119 
2.6723731567e-005 0.000349704671445 -6.43903208263 -396132.12085 377.081154167 7322.46698928 975884520529 8.25976351499e-045 1.07966228758e-053 487942750296 3.85438378973e-049 2.50580939566e+014 0 0 0 0 0 0 0 0 0 0 0 6.43437169652e-093 8.24378911949e-117 
2.73942402957e-005 0.000345296509157 -6.7119242339 -416193.741551 382.762741274 7472.05318846 975884186361 6.04219411031e-044 1.06296212585e-052 487942634239 3.6444850136e-048 2.42449604905e+014 0 0 0 0 0 0 0 0 0 0 0 2.64884248839e-091 7.1846122228e-115 
2.8028566831e-005 0.000340953640287 -6.98315436446 -437233.677809 388.61552365 7622.87417027 975883843185 4.42453096411e-043 1.04748044021e-051 487942515047 3.44678809023e-047 2.34492394496e+014 0 0 0 0 0 0 0 0 0 0 0 1.09259096254e-089 6.28693891104e-113 
2.8630060094e-005 0.000336672729593 -7.25333992636 -459308.741801 394.647211511 7775.11430911 975883491448 3.2424607357e-042 1.03289119748e-050 487942392875 3.25968955439e-046 2.26710242973e+014 0 0 0 0 0 0 0 0 0 0 0 4.51332876799e-088 5.51975264166e-111 
2.9201638676e-005 0.000332450428684 -7.52304712333 -482481.001217 400.865985311 7928.95020494 975883131517 2.37750621392e-041 1.01892435443e-049 487942267851 3.08190726101e-045 2.1910275568e+014 0 0 0 0 0 0 0 0 0 0 0 1.86632920678e-086 4.85931148892e-109 
2.97458649124e-005 0.0003282833868 -7.79280370845 -506818.325157 407.280532927 8084.55300705 975882763688 1.74391267611e-040 1.00535402008e-048 487942140076 2.91241156644e-044 2.11668514369e+014 0 0 0 0 0 0 0 0 0 0 0 7.7226694953e-085 4.28717343891e-107 
3.02650032829e-005 0.000324168256094 -8.06310937666 -532395.019625 413.900089728 8242.0903921 975882388189 1.27941248249e-039 9.91989865207e-048 487942009628 2.7503737862e-043 2.04405316713e+014 0 0 0 0 0 0 0 0 0 0 0 3.1965998086e-083 3.78882306911e-105 
3.07610670908e-005 0.000320101692461 -8.33444445191 -559292.566088 420.734482049 8401.72829681 975882005186 9.38672515099e-039 9.78670807265e-047 487941876566 2.59512686588e-042 1.97310364665e+014 0 0 0 0 0 0 0 0 0 0 0 1.32317973383e-081 3.35269780806e-103 
3.12358562419e-005 0.000316080352635 -8.60727737906 -587600.480566 427.794174673 8563.63248308 975881614785 6.88616077439e-038 9.65260347403e-046 487941740924 2.44613491386e-041 1.90380412885e+014 0 0 0 0 0 0 0 0 0 0 0 5.47569370506e-080 2.96948567964e-101 
3.16909881641e-005 0.000312100888116 -8.88207140047 -617417.314031 435.090322758 8727.96999597 975881217036 5.05065407682e-037 9.51643092025e-045 487941602720 2.30296916559e-040 1.83611885896e+014 0 0 0 0 0 0 0 0 0 0 0 2.26484771255e-078 2.631610816e-099 
3.21279233799e-005 0.000308159936229 -9.15929071673 -648851.820599 442.634828945 8894.91056598 975880811931 3.70321263738e-036 9.37722163586e-044 487941461949 2.16528876042e-039 1.77000970418e+014 0 0 0 0 0 0 0 0 0 0 0 9.36087533805e-077 2.33285128882e-097 
3.25479868564e-005 0.000304254108563 -9.43940637184 -682024.325328 450.440406095 9064.6279984 975880399409 2.7141143595e-035 9.23417269457e-043 487941318591 2.03282511735e-038 1.70543688111e+014 0 0 0 0 0 0 0 0 0 0 0 3.86524035851e-075 2.06805160005e-095 
3.29523860086e-005 0.000300379976734 -9.7229020822 -717068.332591 458.52064653 9237.30159658 975879979355 1.98819250943e-034 9.08663286206e-042 487941172603 1.90536908605e-037 1.64235952482e+014 0 0 0 0 0 0 0 0 0 0 0 1.59415321005e-073 1.83290397789e-093 
3.33422260008e-005 0.000296534055563 -10.0102801921 -754132.423767 466.890098381 9413.11765338 975879551596 1.45558000147e-033 8.93409191098e-041 487941023925 1.78276013782e-036 1.58073613257e+014 0 0 0 0 0 0 0 0 0 0 0 6.56588291812e-072 1.62378003401e-091 
3.37185228886e-005 0.000292712783267 -10.3020679618 -793382.508223 475.564350175 9592.27106432 975879115900 1.06495644603e-032 8.77617336804e-040 487940872474 1.66487730725e-035 1.5205249036e+014 0 0 0 0 0 0 0 0 0 0 0 2.70013960103e-070 1.43760031265e-089 
3.40822149962e-005 0.000288912498533 -10.598824376 -835004.50529 484.560124377 9774.96710431 975878671977 7.78611484549e-032 8.61262913601e-039 487940718150 1.55163134727e-034 1.46168399649e+014 0 0 0 0 0 0 0 0 0 0 0 1.10849503421e-068 1.27173200298e-087 
3.44341728734e-005 0.00028512941387 -10.9011477021 -879207.558092 493.895381361 9961.42343138 975878219469 5.68830143044e-031 8.44333618839e-038 487940560825 1.44295798123e-033 1.40417171665e+014 0 0 0 0 0 0 0 0 0 0 0 4.54217402877e-067 1.12390833567e-085 
3.47752080997e-005 0.000281359584678 -11.2096840505 -926227.9067 503.589434926 10151.8723851 975877757948 4.15242574762e-030 8.26829465185e-037 487940400350 1.3388119885e-032 1.34794664681e+014 0 0 0 0 0 0 0 0 0 0 0 1.85740944285e-065 9.92164533977e-084 
3.51060811607e-005 0.000277598873223 -11.52513724 -976333.584772 513.663080992 10346.5636658 975877286910 3.02878776409e-029 8.08762711768e-036 487940236547 1.23916199729e-031 1.29296772888e+014 0 0 0 0 0 0 0 0 0 0 0 7.57879169576e-064 8.74786624987e-082 
3.54275085942e-005 0.000273842906433 -11.8482803446 -1029830.15356 524.138741232 10545.7675075 975876805762 2.20739509545e-028 7.90157908583e-035 487940069209 1.14398588307e-030 1.23919430385e+014 0 0 0 0 0 0 0 0 0 0 0 3.0851657052e-062 7.70270319072e-080 
3.57401695756e-005 0.000270087026149 -12.1799693928 -1087067.75236 535.040623775 10749.7784844 975876313816 1.60745740012e-027 7.71052055831e-034 487939898094 1.05326669957e-029 1.18658611437e+014 0 0 0 0 0 0 0 0 0 0 0 1.2528072796e-060 6.77287828402e-078 
3.60447120904e-005 0.000266326230146 -12.5211598113 -1148449.83445 546.394903301 10958.9201368 975875810272 1.16965955654e-026 7.5149487002e-033 487939722921 9.66989062918e-029 1.13510327371e+014 0 0 0 0 0 0 0 0 0 0 0 5.07413302945e-059 5.9466094747e-076 
3.63417588443e-005 0.000262555101654 -12.8729263939 -1214444.08056 558.229923318 11173.5506645 975875294206 8.50476805642e-026 7.31549178868e-032 487939543366 8.85135954523e-028 1.084706203e+014 0 0 0 0 0 0 0 0 0 0 0 2.04955550719e-057 5.21339155769e-074 
3.66319130542e-005 0.000258767724423 -13.2364878142 -1285596.15608 570.576424135 11394.070021 975874764541 6.17991535945e-025 7.11291508362e-031 487939359052 8.07685950266e-027 1.03535553628e+014 0 0 0 0 0 0 0 0 0 0 0 8.25525862054e-056 4.56381779406e-072 
3.69157642636e-005 0.000254957579609 -13.6132370337 -1362547.21785 583.467800328 11620.9288626 975874220033 4.48814916184e-024 6.90812881779e-030 487939169541 7.34610807904e-026 9.87011993463e+013 0 0 0 0 0 0 0 0 0 0 0 3.31537754221e-054 3.98943378846e-070 
3.71938943461e-005 0.000251117419465 -14.0047794305 -1446056.42569 596.940392247 11854.6399804 975873659229 3.25821821106e-023 6.70219929992e-029 487938974323 6.65873423191e-025 9.39636219059e+013 0 0 0 0 0 0 0 0 0 0 0 1.32748932602e-052 3.48261775535e-068 
3.74668838804e-005 0.000247239111163 -14.4129811419 -1537030.21691 611.033817739 12095.7931015 975873080431 2.36484557153e-022 6.49636450665e-028 487938772803 6.01426159533e-024 8.93188582002e+013 0 0 0 0 0 0 0 0 0 0 0 5.29903675648e-051 3.03648233221e-066 
3.77353191055e-005 0.000243313441968 -14.8400310591 -1636560.84114 625.791350339 12345.0743146 975872481646 1.71647491851e-021 6.29205570685e-027 487938564280 5.41209516209e-023 8.47628933379e+013 0 0 0 0 0 0 0 0 0 0 0 2.10868777174e-049 2.64479377278e-064 
3.79997997251e-005 0.000239329873607 -15.2885213138 -1745977.76843 641.260353081 12603.2919488 975871860517 1.24626337714e-020 6.09092805852e-026 487938347927 4.85151157347e-022 8.0291631411e+013 0 0 0 0 0 0 0 0 0 0 0 8.36508904258e-048 2.30190567696e-062 
3.8260947874e-005 0.000235276229542 -15.7615531291 -1866917.2725 657.492778485 12871.4115889 975871214240 9.05464360836e-020 5.89490395594e-025 487938122758 4.33165278405e-021 7.59008606603e+013 0 0 0 0 0 0 0 0 0 0 0 3.30811249714e-046 2.00270458036e-060 
3.85194186545e-005 0.000231138292366 -16.2628779938 -2001418.1334 674.545748975 13150.6042663 975870539456 6.58569448112e-019 5.70623521357e-024 487937887593 3.85152311359e-020 7.15862122343e+013 0 0 0 0 0 0 0 0 0 0 0 1.30427417444e-044 1.74256571798e-058 
3.87759127403e-005 0.000226899279812 -16.7970887933 -2152055.58971 692.482236657 13442.3139996 975869832099 4.79744356726e-018 5.52759310588e-023 487937641002 3.40998950934e-019 6.73431120918e+013 0 0 0 0 0 0 0 0 0 0 0 5.12729462854e-043 1.51731750492e-056 
3.9031191666e-005 0.000222539155007 -17.3698828204 -2322132.4864 711.371868807 13748.3543528 975869087203 3.50216505063e-017 5.36220034715e-022 487937381237 3.0057848113e-018 6.3166726262e+013 0 0 0 0 0 0 0 0 0 0 0 2.01011744983e-041 1.32321400366e-054 
3.92860965098e-005 0.000218033708618 -17.9884300653 -2515957.90886 731.291897905 14071.0494766 975868298636 2.56361871792e-016 5.2140270555e-021 487937106140 2.63751367047e-017 5.90519016136e+013 0 0 0 0 0 0 0 0 0 0 0 7.86124773653e-040 1.15691505504e-052 
3.95415706894e-005 0.000213353325256 -18.661898646 -2739262.99612 752.328395753 14413.444999 975867458733 1.88305389287e-015 5.0880858727e-020 487936813010 2.30366056262e-016 5.49931085992e+013 0 0 0 0 0 0 0 0 0 0 0 3.06812404757e-038 1.01547445507e-050 
3.97986872909e-005 0.000208461313342 -19.4022192529 -2999837.69548 774.577768954 14779.6314344 975866557786 1.38898133494e-014 4.99088257255e-019 487936498424 2.00259889461e-015 5.09844021872e+013 0 0 0 0 0 0 0 0 0 0 0 1.19565385475e-036 8.9633699896e-049 
4.00586802179e-005 0.000203311639789 -20.22521969 -3308533.70815 798.148763229 15175.2537661 975865583332 1.02970706499e-013 4.93111236134e-018 487936157984 1.7325994164e-014 4.70194386739e+013 0 0 0 0 0 0 0 0 0 0 0 4.65596527362e-035 7.97345364033e-047 
4.03229751154e-005 0.000197845888224 -21.152340554 -3680892.65159 823.165259524 15608.3374602 975864519141 7.6788796369e-013 4.92074168316e-017 487935785956 1.49183440331e-013 4.3091633839e+013 0 0 0 0 0 0 0 0 0 0 0 1.81343013086e-033 7.16755875632e-045 
4.05932070742e-005 0.000191989323368 -22.2132674694 -4139872.98577 849.770433768 16090.6656822 975863343823 5.76564330066e-012 4.97667225871e-016 487935374768 1.27837072053e-012 3.91946543339e+013 0 0 0 0 0 0 0 0 0 0 0 7.07275873003e-032 6.53253855868e-043 
4.08711890406e-005 0.000185646325691 -23.4499818068 -4720554.3147 878.133384685 16640.1327418 975862028966 4.36267035336e-011 5.12317592625e-015 487934914345 1.09013799734e-011 3.53236713691e+013 0 0 0 0 0 0 0 0 0 0 0 2.76588920925e-030 6.05929624425e-041 
4.11587377504e-005 0.000178696843977 -24.9228384517 -5478431.2538 908.460351984 17284.8192767 975860537030 3.32899780968e-010 5.39489774189e-014 487934391339 9.24847017016e-011 3.14783163417e+013 0 0 0 0 0 0 0 0 0 0 0 1.08563115731e-028 5.74084004334e-039 
4.14571345965e-005 0.000170999711138 -26.7188072292 -6504027.08903 941.014333077 18069.9326237 975858820179 2.56172058114e-009 5.83830488559e-013 487933788659 7.79827583835e-010 2.76692494771e+013 0 0 0 0 0 0 0 0 0 0 0 4.27547297482e-027 5.56479252731e-037 
4.17657756647e-005 0.000162419096749 -28.9591355761 -7947205.6651 976.148457828 19068.5778015 975856824131 1.98429933322e-008 6.50298582898e-012 487933086747 6.51822993577e-009 2.3931357607e+013 0 0 0 0 0 0 0 0 0 0 0 1.68237692375e-025 5.49163398921e-035 
4.20795290007e-005 0.000152905799245 -31.7944909283 -10050086.0911 1014.35425597 20393.8971084 975854506684 1.53864064121e-007 7.40130401324e-011 487932269981 5.37139827675e-008 2.03442845315e+013 0 0 0 0 0 0 0 0 0 0 0 6.53641229444e-024 5.41164267596e-033 
4.23857874496e-005 0.000142646850089 -35.3623974126 -13167263.6816 1056.29616367 22199.0789028 975851880207 1.18283154817e-006 8.42341524776e-010 487931341627 4.3316349224e-007 1.70446035209e+013 0 0 0 0 0 0 0 0 0 0 0 2.45726494349e-022 5.12461838884e-031 
4.26659919721e-005 0.000132160266525 -39.7026733299 -17725653.396 1102.72984785 24643.7876153 975849053440 8.93749640009e-006 9.30231089958e-009 487930338882 3.40797060896e-006 1.41882919556e+013 0 0 0 0 0 0 0 0 0 0 0 8.78950959639e-021 4.4740505963e-029 
4.29048923712e-005 0.000122107417363 -44.7139356063 -24124055.0788 1154.24406361 27842.3932367 975846202861 6.63518617044e-005 9.78902942854e-008 487929323382 2.63366638771e-005 1.18611190104e+013 0 0 0 0 0 0 0 0 0 0 0 3.00129826604e-019 3.55948345112e-027 
4.30986509733e-005 0.000112936058917 -50.2328478457 -32692574.9042 1211.14167068 31861.1714638 975843476295 0.000487177711558 9.86514467141e-007 487928347441 0.000202139871612 1.00334029209e+013 0 0 0 0 0 0 0 0 0 0 0 9.98293980189e-018 2.64679148691e-025 
4.325284983e-005 0.000104756374587 -56.146795258 -43779939.7616 1273.70883282 36774.6740347 975840938071 0.00356293861218 9.68947548369e-006 487927434295 0.00155218787033 8.60656516941e+012 0 0 0 0 0 0 0 0 0 0 0 3.29983441685e-016 1.90763044685e-023 
4.33760102169e-005 9.74724593894e-005 -62.4278874778 -57870860.7788 1342.4994756 42717.2016586 975838589019 0.0260742997016 9.42375137492e-005 487926584726 0.0119535675669 7.47659672263e+012 0 0 0 0 0 0 0 0 0 0 0 1.09628582019e-014 1.36749671171e-021 
4.34757285946e-005 9.09289184264e-005 -69.1103885849 -75663105.632 1418.39885095 49905.6821567 975836403820 0.191340023012 0.000915880011283 487925790082 0.0922980605868 6.56178388388e+012 0 0 0 0 0 0 0 0 0 0 0 3.67508075781e-013 9.87114448827e-020 
